filename,relative_path,category,title,transparent_background,dimensions,filesize_bytes,includes,intended_use
signal_to_system_portfolio_dashboard.png,01-site-mockups/signal_to_system_portfolio_dashboard.png,site-mockup,Portfolio / Projects index mockup,no,1448x1086,1870730,"Projects and portfolio dashboard with featured project, grid of projects, sidebar categories, current focus, and project map.",Portfolio / projects section guidance.
research_foundry_a_sci_fi_research_dossier.png,01-site-mockups/research_foundry_a_sci_fi_research_dossier.png,site-mockup,Project dossier mockup — Research Foundry,no,1448x1086,1772315,"Detailed project dossier page for Research Foundry, with overview, capabilities, architecture, interface previews, artifacts, and related work.",Canonical project detail page guidance.
signal_to_system_logo_exploration_board.png,02-visual-assets-transparent/signal_to_system_logo_exploration_board.png,visual-asset,Logo exploration board,yes,1448x1086,563628,"Brand board with primary lockup, observatory lockup, constellation lockup, compass lockup, monogram, wordmark, monochrome variants, and favicon ideas.","Brand direction, logo refinement, favicon selection."
neon_research_icon_grid.png,02-visual-assets-transparent/neon_research_icon_grid.png,visual-asset,Icon grid,yes,1448x1086,1019180,"Transparent icon set covering Writing, Essays, Field Notes, Dev Stories, Guides, Labs, Claims, Evidence, Sources, Methods, Datasets, Figures, Reproduce, Projects, Notebooks, Studio, Search, Topics, Reading Paths, Research Programs, Timeline, Artifacts, Discussion, and Download.",UI iconography library.
signal_to_system_ui_asset_sheet.png,02-visual-assets-transparent/signal_to_system_ui_asset_sheet.png,visual-asset,UI asset sheet,yes,1448x1086,1016899,"Badges, chips, dividers, section labels, project/program emblems, reading path steps, CTA buttons, micro-icons, and footer marks.",UI system and component ornamentation.
cosmic_research_ui_sticker_sheet.png,02-visual-assets-transparent/cosmic_research_ui_sticker_sheet.png,visual-asset,Illustration sticker sheet,yes,1448x1086,2093769,"Transparent research-themed illustrations including observatory, mountain waveform landscape, notebook, map panel, layered data stack, systems network sphere, compass, waveform panel, project dossier card, and film-note frame.","Illustrative accents, cards, section art, and component visuals."
milky_way_observatory_over_misty_peaks.png,03-hero-backgrounds/milky_way_observatory_over_misty_peaks.png,hero-background,Hero background — observatory over misty peaks,no,1672x941,2072983,"Wide 16:9 cinematic observatory scene with Milky Way, mountains, negative space for copy, and subtle “Ideas / Evidence / Systems” + “Observe / Investigate / Build / Share / Repeat” overlays.",Homepage or top-level hero background.
starry_observatory_notebook_landscape.png,03-hero-backgrounds/starry_observatory_notebook_landscape.png,hero-background,Hero background — observatory with notebook overlays,no,1672x941,2267627,"Wide 16:9 cinematic observatory scene combined with handwritten notebook pages, diagrams, and editorial phrases.","Writing, notebooks, or essay hero background."
01-writing-workbench.png,04-reference-boards/01-writing-workbench.png,reference-board,Writing workbench QA reference,no,1440x1000,128518,Writing workbench / QA reference generated during handoff preparation.,Implementation and QA reference.
contact-sheet.jpg,04-reference-boards/contact-sheet.jpg,reference-board,QA contact sheet,no,1200x920,149834,Contact sheet of generated reference material used during the earlier handoff.,Reference / review board.
signal-to-system-agent-build-handoff-v2.zip,05-prior-handoffs/signal-to-system-agent-build-handoff-v2.zip,archive,Agent build handoff v2,no,,3531949,"Full previous design-and-build handoff package with specifications, starter code, tests, and task graph.",Primary implementation handoff archive.
signal-to-system-public-lab-handoff.zip,05-prior-handoffs/signal-to-system-public-lab-handoff.zip,archive,Public lab handoff archive,no,,2460753,Earlier public-lab ideation/specification package.,Historical reference.
signal-to-system-START-HERE.md,05-prior-handoffs/signal-to-system-START-HERE.md,document,START-HERE guide,no,,4219,Entry guide for the earlier build handoff.,Orientation.
signal-to-system-full-build-specification.md,05-prior-handoffs/signal-to-system-full-build-specification.md,document,Full build specification,no,,111011,Consolidated build specification for the prior handoff.,Reference document.
signal-to-system-build-validation.md,05-prior-handoffs/signal-to-system-build-validation.md,document,Build validation report,no,,3681,Validation report for the prior build handoff.,QA reference.
